-19,-8 0 0 0 0 
-19,0 0 0 0 0 
-22,1 0 0 0 0 
-3,8 0 0 0 0 
-22,-2 0 0 0 0 
-22,2 0 0 0 0 
-5,17 0 0 0 0 
-28,15 0 0 0 0 
-7,-3 0 0 0 0 
-19,-6 0 0 0 0 
-4,18 -12.6691 -13.4635 -12.6691 -12.3058 
-18,-4 0 0 0 0 
-21,4 0 -6 0 0 
-11,-2 0 0 0 0 
-17,-4 0 0 0 0 
-8,-4 0 0 0 0 
-3,4 0 0 0 0 
-10,-6 0 0 0 0 
3,-7 0 0 0 0 
-21,-4 0 0 0 0 
-6,17 0 0 0 0 
-18,-5 0 0 0 0 
-20,-4 0 0 0 0 
-2,-9 0 0 0 0 
-6,15 0 0 0 0 
-34,6 0 0 0 0 
-13,4 -8.4 -9.48 -6 -6 
0,-5 0 0 0 0 
-3,-9 0 0 0 0 
-19,-3 0 0 0 0 
-3,7 0 0 0 0 
-3,9 0 0 0 0 
-26,9 0 0 0 0 
-2,-15 0 0 0 0 
-28,12 0 0 0 0 
-34,2 0 0 0 0 
-29,16 0 0 0 0 
-22,-5 0 0 0 0 
-19,-9 -3 0 0 0 
-3,13 -12.175 -12.2625 -10.95 -10.95 
-2,-11 0 0 0 0 
2,-8 0 0 0 0 
-3,10 0 0 0 0 
-20,-1 0 0 0 0 
-30,10 0 0 0 0 
-7,12 0 0 0 0 
-31,7 -13.7966 -13.9621 -13.3481 -13.3836 
-3,11 0 0 0 0 
-7,11 0 0 0 0 
-19,-5 0 0 0 0 
-2,-10 0 0 0 0 
-1,5 0 0 0 0 
-29,14 0 0 0 0 
-34,1 0 0 0 0 
-7,13 0 0 0 0 
-12,-2 0 0 0 0 
-28,8 0 0 0 0 
-22,-1 0 0 0 0 
-29,11 0 0 0 0 
0,-6 0 0 0 0 
-23,-1 0 0 0 0 
-30,15 0 0 0 0 
-5,-9 0 0 0 0 
-21,-6 0 0 0 0 
3,-1 0 0 0 0 
-2,-2 0 0 0 0 
-3,-7 0 0 0 0 
-3,6 0 0 0 0 
-30,11 0 0 0 0 
-29,17 0 0 0 0 
-2,-16 0 0 0 0 
1,-5 -7.27317 -14.5734 -8.26048 -14.7058 
-27,13 0 0 0 0 
1,-1 0 0 0 0 
-7,-5 0 0 0 0 
-6,16 0 0 0 0 
1,-3 0 0 0 0 
-24,0 0 0 0 0 
-2,-18 -7.5 -10.75 -8.5 -8.5 
-7,14 0 0 0 0 
-21,0 0 0 0 0 
-23,1 0 0 0 0 
-30,13 0 0 0 0 
-21,2 0 0 0 0 
-23,2 0 0 0 0 
-19,-7 0 0 0 0 
-27,12 0 0 0 0 
-1,4 0 0 0 0 
0,8 -13.8655 -12.665 -13.5225 -13.8655 
-21,-2 0 0 0 0 
-27,15 0 0 0 0 
1,-6 0 0 0 0 
-2,-17 0 0 0 0 
-2,0 0 0 0 0 
-4,17 0 0 0 0 
-29,8 0 0 0 0 
